Year,first_bloom_Alexander_Lukas
1958,122
1959,98
1960,101
1961,89
1962,117
1963,118
1964,116
1965,119
1966,99
1967,102
1968,109
1969,119
1970,127
1971,113
1972,104
1973,123
1974,97
1975,109
1976,111
1977,107
1978,115
1979,129
1980,108
1981,99
1982,116
1983,114
1984,121
1985,126
1986,125
1987,116
1988,110
1989,98
1990,77
1991,100
1992,105
1993,103
1994,104
1995,111
1996,117
1997,98
1998,95
1999,100
2000,105
2001,112
2002,91
2003,104
2004,105
2005,104
2006,116
2007,102
2008,106
2009,102
2010,110
2011,94
2012,102
2013,115
2014,90
2015,104
2016,106
2017,90
2018,105
